"topic","app","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84"
"medicalanalysis","N1","0.46742324799187607","0.4721486864631324","0.4635754972592729","0.4561352503785606","0.47341230245827687","0.4682247981909965","0.457253183999633","0.4695887947787105","0.4550770102536062","0.4574973545373082","0.4532272623913382","0.4584871401811237","0.46531249534234786","0.4616639304461916","0.4534241267359068","0.4345106153159759","0.46374901393696194","0.45791860984969474","0.4494932333482855","0.4504878109184019","0.4616515726538908","0.474665721339008","0.45887853363685044","0.4781513142002818","0.45343034821035","0.46365521636280993","0.45791097301644446","0.4697760775222664","0.46669308952299354","0.4519277530478062","0.44817541671703126","0.45490565568558006","0.4660117320169992","0.4344896668536735","0.4701021452972435","0.47041658805477665","0.46577464608365104","0.47320994694694407","0.45971614536331595","0.46680881087320253","0.4663949091561329","0.4658340062857726","0.47800217632274655","0.45727539322401695","0.4551987730387258","0.458663531325995","0.46987197223978316","0.4642988673061793","0.4472418406879111","0.46731077450069575","0.4420873762182235","0.46436504886386903","0.4619227943227571","0.4526350331259154","0.4688987363786227","0.4643158846224211","0.45597136570604707","0.45667331331212146","0.4570474270494629","0.45781435140796484","0.4689307463328293","0.4550569777626769","0.4661737752141486","0.4659408291625858","0.46778512773949654","0.46547291457163825","0.45441482193676613","0.46215729527796284","0.46311209619362265","0.4636470604668931","0.4656305733926192","0.4640589694914505","0.46160563899396206","0.45893723333959996","0.46515489941809934","0.45657404235889665","0.46735758208066347","0.4635571250586332","0.4781048404264691","0.47743168549378284","0.46869707565498087","0.43813718530628587","0.4557174824752452","0.42705214039971673"
"dataanalytics","N1","0.5418931981366866","0.5273867586791249","0.5426543388199238","0.5424015673240755","0.5483457625639611","0.5446885519723036","0.5265048538388973","0.5389666301449888","0.5385137905249495","0.547684949974849","0.5299404248628908","0.5275412642476477","0.5421802144947083","0.5426064198495684","0.5413133597683062","0.5008256801277167","0.5307461291059785","0.5339922893723622","0.5233481252219748","0.5253436232483812","0.5408375056339025","0.5510765858333712","0.5378948371587047","0.5552677357816368","0.5170974480198761","0.5371224113097499","0.5353603245980657","0.5453050119976145","0.5423761520809687","0.5406806601788713","0.5287137465325761","0.5298180618827993","0.5405323606101593","0.5195886856551508","0.5469904985798931","0.5409773948028294","0.5340471514849626","0.5498787947605358","0.5435498739029775","0.5462512201640873","0.5482442939605509","0.5446836554493174","0.5588950887754611","0.5351595504861195","0.5305710843745117","0.5422436407165546","0.5385771427622423","0.5421028932764393","0.5203834525221386","0.5340041851338962","0.5306788434512909","0.5372134775702072","0.5440368741713948","0.5244878339409154","0.5417238520320657","0.5446647999677104","0.5287707334273763","0.5338494877224959","0.5186291271175892","0.5352420361204028","0.5518312461881847","0.5334521746581307","0.5420951537810853","0.5492217668676793","0.5244744092857467","0.5326978710965621","0.5344853336613411","0.5398145282032522","0.5323996494710076","0.5380775793014436","0.5361538251804594","0.5353254019964944","0.5334853127271287","0.5424497425120393","0.5348315704572978","0.542668472219906","0.5446942291666039","0.5335431407458308","0.5542925803767554","0.5585530201532425","0.5502527734807497","0.5474348247611844","0.5327758206611645","0.5038875889695953"
"medicalanalysis","N7","0.4647993784407862","0.4720765547566345","0.47086771311254577","0.4647275599345995","0.4732115416805958","0.4683983982464199","0.4564794460188617","0.4526744727604404","0.4626578351175561","0.45722191383218963","0.45534798359996537","0.45808649915548794","0.46745016715079757","0.46058048647241306","0.45283472990922724","0.4344395925887064","0.4654974129404953","0.45537192365234364","0.4515134345812799","0.45126299188390834","0.46402332261464946","0.47484600980054337","0.4594940239157941","0.4793117026984326","0.4502591700608964","0.46424898133548737","0.4584718704523402","0.4648729092295602","0.46656288118966216","0.4523846738934894","0.44828928311379435","0.4515199793992711","0.46780539411366917","0.43458780475632647","0.47039664077312904","0.451302422920154","0.4659633925223865","0.47303750575177705","0.46034235738657764","0.46735073618817025","0.4662376562552072","0.4664448017403205","0.4785172862128574","0.45630639544295365","0.45597040830477525","0.46426698622547874","0.47009390637658993","0.46255392937897216","0.45658488447545237","0.4673129079112122","0.4438577346699656","0.4634459312168215","0.466413736979412","0.4463246601103017","0.46914362979039403","0.4643160998212046","0.45535510696478665","0.46051686718816903","0.45681520404328757","0.45715269074422193","0.4695872598076916","0.45595810398681275","0.46598499110557495","0.46676127230639985","0.4579527622667773","0.46550013144608304","0.45474992385955953","0.4626569486740364","0.4798341788394196","0.46332654764637726","0.45538456746564393","0.4675855393299993","0.46197281988998856","0.4603360818814985","0.4663994521271113","0.4589358891444432","0.4675032697263524","0.4897688743046605","0.47735941094935275","0.4769424020728928","0.46815784295841617","0.46035284335734666","0.4539689481363565","0.42766887978313733"
"dataanalytics","N7","0.5442163240171534","0.5276736219668601","0.5428861382704756","0.5419539940639965","0.5485607218834754","0.5456408028464255","0.5264519692234931","0.5506705847845499","0.5347253962537676","0.5486865525389623","0.5306884933097155","0.5258414016102737","0.5418153779503396","0.5434668330449599","0.5402891622264203","0.5037299757677116","0.534896663502671","0.5338652679562681","0.5225449563466629","0.5217098768047906","0.5411616889453655","0.5501144262759773","0.543968229426618","0.5593442964965535","0.5125147521824158","0.5363010972072016","0.5358210617775355","0.5457425605601625","0.5454911222881241","0.5413683058665125","0.527265715397048","0.5283299666446875","0.5420451922920257","0.5194128490655697","0.5437685832207272","0.5310292608943379","0.5345983364111495","0.5485536155234466","0.5436864374739171","0.5422878052933134","0.5366441867985726","0.5448699128757566","0.5557522957938302","0.5336965935665255","0.5325781155432051","0.5350289680789444","0.5373353435347619","0.5434742968416951","0.5263820516071557","0.5348783512675928","0.5303784629335042","0.5361549418077385","0.538330465108871","0.5230936031716883","0.5424141151142977","0.5447508355835415","0.528820128130957","0.5337609015401529","0.5182799970809524","0.5356348577934207","0.5450578350227586","0.533652495170951","0.5402019673429158","0.5519273459830686","0.5310251275564244","0.53087933339047","0.5331688431929752","0.5388746994527003","0.5302628973342548","0.5380209597845871","0.5427501229181853","0.5530451841580586","0.5327860120278285","0.5435839941754178","0.5348267473515312","0.5383291400860349","0.5446110550525759","0.5651884770870321","0.5540642785859647","0.5594544624609408","0.5490462029711187","0.5458177191508883","0.5335588068967898","0.49775721797751266"
"dataanalytics","N8","0.538126892557227","0.5274284252306238","0.5399033806529587","0.5419311002911054","0.5492337259157524","0.5493282141224447","0.5265385076850412","0.5365298051047215","0.5370301545831331","0.5471120333081809","0.5307253511220439","0.5247081598520342","0.541342993256361","0.543091559709722","0.5420783257777858","0.5022078916661814","0.5230401712109964","0.5330061661205948","0.5243511598921295","0.5219931077282525","0.5409846994731944","0.5559034917797906","0.5421842179835319","0.5549290120054157","0.5127650330420558","0.5349343649810914","0.5331302692280132","0.5436359101492805","0.5636220275309796","0.5412714556685893","0.526393028884194","0.5287678100512881","0.5404376636404563","0.5171288435474541","0.5441817346492878","0.5436169772035037","0.5339318154321242","0.5496908131445356","0.5428888162106708","0.5522291309220716","0.5373851525635743","0.545007822321421","0.5590867213873654","0.5244251542072114","0.5316683371388798","0.542833400795547","0.5366817978616847","0.5407732478906307","0.5235121887787519","0.5380768923212692","0.5213515896769679","0.5366778837780392","0.5370304258624046","0.5247362313768139","0.5528262215833447","0.545129145284044","0.5294805238113987","0.5334652653901656","0.5177670885151674","0.535519234780067","0.5505692915441806","0.5365015668385508","0.5501710437339482","0.5502119594306594","0.5297214356371791","0.526710589221122","0.5344527030519964","0.539369371508092","0.5494793458573094","0.5379136807000481","0.5357088540610128","0.552196418899708","0.5332230749648932","0.5431387448314128","0.531508841621989","0.537823187705079","0.5535794775836318","0.5646608796844331","0.553440423274605","0.5507427735190286","0.5505888213614359","0.5480345562127529","0.5324371369615706","0.49695181816594186"
"dataanalytics","N9","0.5424820861673807","0.5276912189572174","0.5437446547539967","0.5410348090823168","0.5492183166455372","0.5391034413213192","0.524812546146578","0.5389191808495472","0.5380739563554838","0.5478492127953587","0.5315491295870263","0.5271120060058899","0.5426860994171208","0.5428802113275719","0.5407929496803674","0.5005337845233195","0.5364719903497408","0.5340728728513774","0.5220798391192979","0.5202182741802188","0.5413525312139418","0.5527895926458765","0.5442602669345948","0.5572955335355986","0.5109625779268593","0.5361180771023011","0.5350798758801167","0.5469656461673532","0.5458682336027395","0.5307539193895795","0.5228287954177023","0.5247160482630342","0.5409991229767452","0.5181115147224264","0.5477380683178551","0.5348532118035981","0.5462420118646639","0.5487048145550194","0.5424755018464662","0.5418425480982153","0.5370192924621296","0.5449392580135487","0.5587598620038468","0.524240496984603","0.5332286153812331","0.5444969430079936","0.5367231139674653","0.5426482478906587","0.526420210284235","0.5389377127932448","0.5320322829338204","0.5365893210249955","0.545410244014682","0.5228040740714173","0.5433254213039728","0.5438845020843943","0.5292380211454878","0.5336357604044145","0.5168165566752035","0.5382914268101137","0.5452718962265419","0.5367780647162999","0.5412839436901954","0.552662086785749","0.5278150719492137","0.5304377351512066","0.534998388771698","0.5399640266600301","0.5316517862231427","0.5387232404584655","0.5455556245593804","0.5264370999949206","0.5331356623774751","0.5406467013790726","0.547052383421816","0.5375152664596603","0.5522730394565335","0.5345462458306587","0.5540757254724041","0.5493448225117217","0.5498811584885929","0.5455739612178087","0.5320142775812216","0.49719105821926624"
"compliance","N7","0.4277842921348761","0.42394327476581445","0.42127439270680445","0.43000665520522086","0.423717495388082","0.42176227727849813","0.4174510226860471","0.42207347895263964","0.41826223092938436","0.4068672701667772","0.4168614544317771","0.4165730739905119","0.4337978325194134","0.4208899561941315","0.4165744622499324","0.39984658700009895","0.41038687530909224","0.4147918940938076","0.41629359074625627","0.41449346631664535","0.4302991360204857","0.4266396735581394","0.41833501658138755","0.4424656377040919","0.41572534465289934","0.4271441507982495","0.4281721623028481","0.4308718288950317","0.4194198421292112","0.4185964794530008","0.42527112871667155","0.4156778634440648","0.4220289840642614","0.4125739056755095","0.41968061655029126","0.41848194495158475","0.42733900249153234","0.4246864546314786","0.4304449819684259","0.42869659903709073","0.4231329893363312","0.4301147236442845","0.42940656465693666","0.4259597467607418","0.41803673722963247","0.4147436693625579","0.4197253989223423","0.4183594124678339","0.41401001491226536","0.4400937842569136","0.4074124183887544","0.4245904796014709","0.425179272418451","0.4189048300523523","0.4302257992296448","0.4281223998252765","0.4140651956359819","0.423286087903002","0.4114658483645844","0.41542622894667836","0.4375744190877447","0.42644598237804043","0.42311890621894843","0.43356129518678876","0.42779501499722605","0.41545680981743144","0.42276456457052114","0.4243690038056139","0.42417215363962035","0.4298452332027648","0.4323625095959267","0.4137985443181787","0.42193620297506135","0.4247913884365829","0.42691715747867043","0.42203938894389587","0.42464280570723867","0.4163502052991973","0.4343311597384751","0.4423713217907591","0.4274438818640022","0.4331288436421072","0.4188970176667458","0.40821570334831037"
