"topic","app","response_time","throughput","drop_rate"
"medicalanalysis","N1","0.47320994694694407","1.6525810582130753","0.0"
"dataanalytics","N1","0.5498787947605358","1.3864312486956576","0.0"
"medicalanalysis","N7","0.47303750575177705","1.6525810582130753","0.0"
"dataanalytics","N7","0.5485536155234466","1.3864312486956576","0.0"
"dataanalytics","N8","0.5496908131445356","1.3864312486956576","0.0"
"dataanalytics","N9","0.5487048145550194","1.3864312486956576","0.0"
"compliance","N7","0.4246864546314786","0.8331218403165795","0.0"
