"topic","app","response_time","throughput","drop_rate"
"medicalanalysis","N1","0.4688987363786227","1.6578897965477013","0.0"
"dataanalytics","N1","0.5417238520320657","1.4001143892044723","0.0"
"medicalanalysis","N7","0.46914362979039403","1.6578897965477013","0.0"
"dataanalytics","N7","0.5424141151142977","1.4001143892044723","0.0"
"dataanalytics","N8","0.5528262215833447","1.4001143892044723","0.0"
"dataanalytics","N9","0.5433254213039728","1.4001143892044723","0.0"
"compliance","N7","0.4302257992296448","0.845042467944345","0.0"
