"topic","app","response_time","throughput","drop_rate"
"medicalanalysis","N1","0.4551987730387258","1.659939211916446","0.0"
"dataanalytics","N1","0.5305710843745117","1.3900140461097308","0.0"
"medicalanalysis","N7","0.45597040830477525","1.659939211916446","0.0"
"dataanalytics","N7","0.5325781155432051","1.3900140461097308","0.0"
"dataanalytics","N8","0.5316683371388798","1.3900140461097308","0.0"
"dataanalytics","N9","0.5332286153812331","1.3900140461097308","0.0"
"compliance","N7","0.41803673722963247","0.8357839671661847","0.0"
