"topic","app","response_time","throughput","drop_rate"
"medicalanalysis","N1","0.4561352503785606","1.7091193863668053","0.0"
"dataanalytics","N1","0.5424015673240755","1.383006197288966","0.0"
"medicalanalysis","N7","0.4647275599345995","1.7091193863668053","0.0"
"dataanalytics","N7","0.5419539940639965","1.383006197288966","0.0"
"dataanalytics","N8","0.5419311002911054","1.383006197288966","0.0"
"dataanalytics","N9","0.5410348090823168","1.383006197288966","0.0"
"compliance","N7","0.43000665520522086","0.8489961202154357","0.0"
