"topic","app","response_time","throughput","drop_rate"
"intrusiondetection","app36","0.21247048230364682","0.9106657675195172","0.0"
"smartthings","app1","0.17741204241834335","0.0039578840146709746","0.0"
"firedetection","app23","0.1992130954972849","0.0035135871144505422","0.0"
"firedetection","app22","0.20384098792986344","0.0035135871144505422","0.0"
"videosurveillance","app2","0.2067284703285433","0.27208683749400503","0.0"
"bms","app2","0.17081287410553878","0.3101562980468306","0.0"
"energymanagement","app1","0.16678148076773358","0.06331844607893153","0.0"
"energymanagement","app2","0.16820180535452733","0.06331844607893153","0.0"
"bms","app21","0.171465346633014","0.3101562980468306","0.0"
"videosurveillance","app38","0.2007759459810782","0.27208683749400503","0.0"
"printing","app11","0.16852739162100255","0.011946504608477187","0.0"
"videosurveillance","app36","0.20617251135495943","0.27208683749400503","0.0"
"occupancymanagement","app12","0.16641120075314453","0.00532814600989735","0.0"
"firedetection","app1","0.2043413006253703","0.0035135871144505422","0.0"
"occupancymanagement","app21","0.16682343589184853","0.00532814600989735","0.0"
"amazonecho","app21","0.13317935882789206","0.0019098330032728953","0.0"
"printing","app2","0.1680708384759683","0.011946504608477187","0.0"
"smartthings","app22","0.1837573613544338","0.0039578840146709746","0.0"
"intrusiondetection","app21","0.20699953049159606","0.9106657675195172","0.0"
"intrusiondetection","app2","0.21010154415268958","0.9106657675195172","0.0"
