"topic","app","response_time","throughput","drop_rate"
"medicalanalysis","N1","0.4504878109184019","1.650922566058607","0.0"
"dataanalytics","N1","0.5253436232483812","1.4022829023095984","0.0"
"medicalanalysis","N7","0.45126299188390834","1.650922566058607","0.0"
"dataanalytics","N7","0.5217098768047906","1.4022829023095984","0.0"
"dataanalytics","N8","0.5219931077282525","1.4022829023095984","0.0"
"dataanalytics","N9","0.5202182741802188","1.4022829023095984","0.0"
"compliance","N7","0.41449346631664535","0.8354563731944333","0.0"
