"topic","app","response_time","throughput","drop_rate"
"medicalanalysis","N1","0.46365521636280993","1.663105104238841","0.0"
"dataanalytics","N1","0.5371224113097499","1.3965790519432775","0.0"
"medicalanalysis","N7","0.46424898133548737","1.663105104238841","0.0"
"dataanalytics","N7","0.5363010972072016","1.3965790519432775","0.0"
"dataanalytics","N8","0.5349343649810914","1.3965790519432775","0.0"
"dataanalytics","N9","0.5361180771023011","1.3965790519432775","0.0"
"compliance","N7","0.4271441507982495","0.8315236290727482","0.0"
