"topic","app","response_time","throughput","drop_rate"
"medicalanalysis","N1","0.4781048404264691","1.6663640302492584","0.0"
"dataanalytics","N1","0.5542925803767554","1.3791140103798794","0.0"
"medicalanalysis","N7","0.47735941094935275","1.6663640302492584","0.0"
"dataanalytics","N7","0.5540642785859647","1.3791140103798794","0.0"
"dataanalytics","N8","0.553440423274605","1.3791140103798794","0.0"
"dataanalytics","N9","0.5540757254724041","1.3791140103798794","0.0"
"compliance","N7","0.4343311597384751","0.8482824944374997","0.0"
