"topic","app","response_time","throughput","drop_rate"
"medicalanalysis","N1","0.4661737752141486","1.6647198361726565","0.0"
"dataanalytics","N1","0.5420951537810853","1.3878155934783933","0.0"
"medicalanalysis","N7","0.46598499110557495","1.6647198361726565","0.0"
"dataanalytics","N7","0.5402019673429158","1.3878155934783933","0.0"
"dataanalytics","N8","0.5501710437339482","1.3878155934783933","0.0"
"dataanalytics","N9","0.5412839436901954","1.3878155934783933","0.0"
"compliance","N7","0.42311890621894843","0.8368277513222772","0.0"
