"topic","app","response_time","throughput","drop_rate"
"medicalanalysis","N1","0.46669308952299354","1.6402586370095937","0.0"
"dataanalytics","N1","0.5423761520809687","1.3731276561581967","0.0"
"medicalanalysis","N7","0.46656288118966216","1.6402586370095937","0.0"
"dataanalytics","N7","0.5454911222881241","1.3731276561581967","0.0"
"dataanalytics","N8","0.5636220275309796","1.3731276561581967","0.0"
"dataanalytics","N9","0.5458682336027395","1.3731276561581967","0.0"
"compliance","N7","0.4194198421292112","0.8395247170177297","0.0"
