"topic","app","response_time","throughput","drop_rate"
"medicalanalysis","N1","0.4526350331259154","1.7025738299832796","0.0"
"dataanalytics","N1","0.5244878339409154","1.3923301240846704","0.0"
"medicalanalysis","N7","0.4463246601103017","1.7025738299832796","0.0"
"dataanalytics","N7","0.5230936031716883","1.3923301240846704","0.0"
"dataanalytics","N8","0.5247362313768139","1.3923301240846704","0.0"
"dataanalytics","N9","0.5228040740714173","1.3923301240846704","0.0"
"compliance","N7","0.4189048300523523","0.8513783959711506","0.0"
