"topic","app","response_time","throughput","drop_rate"
"medicalanalysis","N1","0.46742324799187607","1.67634278634857","0.0"
"dataanalytics","N1","0.5418931981366866","1.401003534146007","0.0"
"medicalanalysis","N7","0.4647993784407862","1.67634278634857","0.0"
"dataanalytics","N7","0.5442163240171534","1.401003534146007","0.0"
"dataanalytics","N8","0.538126892557227","1.401003534146007","0.0"
"dataanalytics","N9","0.5424820861673807","1.401003534146007","0.0"
"compliance","N7","0.4277842921348761","0.8449214977353007","0.0"
