"topic","app","response_time","throughput","drop_rate"
"medicalanalysis","N1","0.47743168549378284","1.6808634117856704","0.0"
"dataanalytics","N1","0.5585530201532425","1.3917451292676488","0.0"
"medicalanalysis","N7","0.4769424020728928","1.6808634117856704","0.0"
"dataanalytics","N7","0.5594544624609408","1.3917451292676488","0.0"
"dataanalytics","N8","0.5507427735190286","1.3917451292676488","0.0"
"dataanalytics","N9","0.5493448225117217","1.3917451292676488","0.0"
"compliance","N7","0.4423713217907591","0.838760101581876","0.0"
