"topic","app","response_time","throughput","drop_rate"
"medicalanalysis","N1","0.4550770102536062","1.6588129175819704","0.0"
"dataanalytics","N1","0.5385137905249495","1.412432304174612","0.0"
"medicalanalysis","N7","0.4626578351175561","1.6588129175819704","0.0"
"dataanalytics","N7","0.5347253962537676","1.412432304174612","0.0"
"dataanalytics","N8","0.5370301545831331","1.412432304174612","0.0"
"dataanalytics","N9","0.5380739563554838","1.412432304174612","0.0"
"compliance","N7","0.41826223092938436","0.8512566107424475","0.0"
