"topic","app","response_time","throughput","drop_rate"
"medicalanalysis","N1","0.4643158846224211","1.6626546578875898","0.0"
"dataanalytics","N1","0.5446647999677104","1.38877366481831","0.0"
"medicalanalysis","N7","0.4643160998212046","1.6626546578875898","0.0"
"dataanalytics","N7","0.5447508355835415","1.38877366481831","0.0"
"dataanalytics","N8","0.545129145284044","1.38877366481831","0.0"
"dataanalytics","N9","0.5438845020843943","1.38877366481831","0.0"
"compliance","N7","0.4281223998252765","0.8536009342479244","0.0"
