strategy,avg_lik,avg_imp,avg_risk,avg_len,num_paths
0 409fad40b1d62eb940fdde6354a74f3e8d454d09,0.1800679867986577,0.9982397809505182,0.1796667972717103,0.9998044201056132,5112
0 9a1c0c332d096dda37d9c78df9082cd782e2c043,0.1879146037981813,0.997654848944682,0.1873486548255557,0.9998620499379224,2136
0 cc406827f27a6e34d2407e7795c952a3ef205827,0.1921894842157127,0.9973361747469366,0.1915337733841896,0.9998934469898776,2136
0 54d47d36c3b4ee51b0dbf2c15f42f148098292fa,0.1948792340765534,0.997135665306831,0.194167045186255,0.9999132019789948,2136
0 ac1faedbfec77623b9a384b2f01ee6ffd3320f85,0.1949219305965177,0.9964437505421112,0.1940323122205607,0.9999132622083442,8
0 3e78d89b752d59d26696f0cff1c8474be63d2414,0.1949698934091649,0.9956664933263996,0.1938809609629784,0.999913329866528,9
0 acca830ab5b2bf04e78ad11ed71a03e7ce3dbbbd,0.1950177814551516,0.9948904477353424,0.1937298456387672,0.9999133974192432,9
0 5dbf2ca6d553a063e96da3695d4611563d62737d,0.1941678647522795,0.9949456009594791,0.1928938310958252,0.9999143322196522,126
0 718d0e361c36b3da6577d2b718a7d2cce626c57b,0.2144451935510933,0.9165753639067148,0.1781866457081068,1.0781812490217562,1105
0 30d2ba7d25a7a0f5b9e3b3bf1c76926b31193c1a,0.2144451935510933,0.9165753639067148,0.1781866457081068,1.0781812490217562,1105
0 eaf7803fe8421370005d6873a34100b474380d38,0.2283596164756517,0.8675145395283441,0.1700895548789514,1.1277561193839074,2869
0 63841b50abde7be7f36b38e66695e322dcbc90c9,0.2379620411964333,0.8336573774033269,0.1645017050941734,1.1619680276517603,2869
0 12b5d1af19957351a3a7da2294735440bfc34828,0.2449879537335367,0.8088847322889876,0.1604131811015421,1.1870002338087444,2869
18 409fad40b1d62eb940fdde6354a74f3e8d454d09,0.4469874764016993,0.1946079624244759,0.0740515802899446,1.915673693858845,1090
