strategy,avg_lik,avg_imp,avg_risk,avg_len,num_paths,dst
0 printing_source,0.7510204081632653,0.884873949579832,0.7073229291716687,1.5,13,printing_source
0 energymanagement_source,0.7510204081632653,0.884873949579832,0.7073229291716687,1.5,13,energymanagement_source
0 occupancymanagement_source,0.6459610313058589,0.902100583748313,0.5846260539272022,1.853448275862069,102,occupancymanagement_source
0 videosurveillance_source,0.9930004303762553,0.9290599962765236,0.9229862659666349,2.820166225226048,10833,videosurveillance_source
0 firedetection_source,0.8632944374382892,0.8729709070288001,0.7669350815895293,2.5399325084364452,5053,firedetection_source
0 intrusiondetection_source,0.85014730504216,0.8533031245162946,0.7429201698252467,2.5110554860241967,777,intrusiondetection_source
0 amazonecho_source,0.848300605606469,0.8525304658774302,0.7394707390329804,2.4922069644822993,480,amazonecho_source
0 smartthings_source,0.8230970177340894,0.8587331625163392,0.7185678941737348,2.3738317757009346,4141,smartthings_source
0 bms_source,0.8229390981180921,0.858838703672472,0.7184880687852759,2.3728053791557713,16,bms_source
18 app_app12 app_app11 ,0.6370967840991362,0.9322223968382497,0.5985926514960396,1.860041265474553,2907,smartthings_source
18 app_app12 app_app11 ,0.637344356221606,0.9320874919934954,0.597807859634777,1.846576227390181,188,amazonecho_source
18 app_app12 app_app11 ,0.5944392750655287,0.8382765786818799,0.4965317182557723,1.8755915127461456,3455,firedetection_source
18 app_app12 app_app11 ,0.5913353089227091,0.8110885162768529,0.47723946954119295,1.8752127056154282,501,intrusiondetection_source
18 app_app12 app_app11 ,0.5913584095491102,0.8113025802810717,0.4773918572377147,1.8742209631728046,8,bms_source
18 app_app12 app_app11 ,0.8038958305227192,0.8729300638591849,0.7126477881330169,2.3430470690928624,7833,videosurveillance_source
18 app_app12 app_app11 ,0.8038958305227192,0.8729300638591849,0.7126477881330169,2.3430470690928624,0,occupancymanagement_source
18 app_app12 app_app11 ,0.8038958305227192,0.8729300638591849,0.7126477881330169,2.3430470690928624,0,energymanagement_source
19 app_app12 app_app11 ,0.6370967840991362,0.9322223968382497,0.5985926514960396,1.860041265474553,2907,smartthings_source
