strategy,avg_lik,avg_imp,avg_risk,avg_len,num_paths
0 printing_source,0.7510204081632653,0.884873949579832,0.7073229291716687,1.5,13
0 energymanagement_source,0.7510204081632653,0.884873949579832,0.7073229291716687,1.5,13
0 occupancymanagement_source,0.6459610313058589,0.902100583748313,0.5846260539272022,1.853448275862069,102
0 videosurveillance_source,0.9930004303762552,0.9290599962765236,0.9229862659666348,2.820166225226048,10833
0 firedetection_source,0.8632944374382892,0.8729709070288001,0.7669350815895293,2.539932508436445,5053
0 intrusiondetection_source,0.85014730504216,0.8533031245162946,0.7429201698252467,2.5110554860241967,777
0 amazonecho_source,0.848300605606469,0.8525304658774302,0.7394707390329804,2.4922069644822997,480
0 smartthings_source,0.8230970177340894,0.8587331625163392,0.7185678941737348,2.3738317757009346,4141
0 bms_source,0.8229390981180921,0.858838703672472,0.7184880687852759,2.3728053791557717,16
18 app_app12 app_app11 ,0.6370967840991362,0.9322223968382496,0.5985926514960396,1.860041265474553,2907
19 app_app12 app_app11 ,0.6370967840991362,0.9322223968382496,0.5985926514960396,1.860041265474553,2907
20 printing_source ,0.6370967840991362,0.9322223968382496,0.5985926514960396,1.860041265474553,2907
21 printing_source ,0.6370967840991362,0.9322223968382496,0.5985926514960396,1.860041265474553,2907
22 printing_source ,0.6370967840991362,0.9322223968382496,0.5985926514960396,1.860041265474553,2907
24 printing_source ,0.6370967840991362,0.9322223968382496,0.5985926514960396,1.860041265474553,2907
18 app_app2 app_app1 ,0.7205916425576333,0.883101383273393,0.6330572083375329,1.8896753722235784,4096
19 app_app2 app_app1 ,0.7205916425576333,0.883101383273393,0.6330572083375329,1.8896753722235784,4096
20 energymanagement_source ,0.7205916425576333,0.883101383273393,0.6330572083375329,1.8896753722235784,4096
21 energymanagement_source ,0.7205916425576333,0.883101383273393,0.6330572083375329,1.8896753722235784,4096
22 energymanagement_source ,0.7205916425576333,0.883101383273393,0.6330572083375329,1.8896753722235784,4096
24 energymanagement_source ,0.7205916425576333,0.883101383273393,0.6330572083375329,1.8896753722235784,4096
20 occupancymanagement_source ,0.6114056343618504,0.9392588284272964,0.5777258736225623,1.7600193143408982,2070
21 occupancymanagement_source ,0.6114056343618504,0.9392588284272964,0.5777258736225623,1.7600193143408982,2070
22 occupancymanagement_source ,0.6114056343618504,0.9392588284272964,0.5777258736225623,1.7600193143408982,2070
24 occupancymanagement_source ,0.6114056343618504,0.9392588284272964,0.5777258736225623,1.7600193143408982,2070
18 app_app38 app_app36 ,0.7233642378503905,0.8818031508566365,0.6348576788672335,1.8995557749259624,4051
19 app_app38 app_app36 ,0.7233642378503905,0.8818031508566365,0.6348576788672335,1.8995557749259624,4051
20 videosurveillance_source ,0.7233642378503905,0.8818031508566365,0.6348576788672335,1.8995557749259624,4051
21 videosurveillance_source ,0.7233642378503905,0.8818031508566365,0.6348576788672335,1.8995557749259624,4051
22 videosurveillance_source ,0.7233642378503905,0.8818031508566365,0.6348576788672335,1.8995557749259624,4051
24 videosurveillance_source ,0.7233642378503905,0.8818031508566365,0.6348576788672335,1.8995557749259624,4051
18 app_app22 app_app21 app_app23 ,0.764960850862374,0.8785897614973542,0.6635314933563835,1.8498154981549813,2709
19 app_app22 app_app21 app_app23 ,0.764960850862374,0.8785897614973542,0.6635314933563835,1.8498154981549813,2709
20 firedetection_source ,0.764960850862374,0.8785897614973542,0.6635314933563835,1.8498154981549813,2709
21 firedetection_source ,0.764960850862374,0.8785897614973542,0.6635314933563835,1.8498154981549813,2709
22 firedetection_source ,0.764960850862374,0.8785897614973542,0.6635314933563835,1.8498154981549813,2709
24 firedetection_source ,0.764960850862374,0.8785897614973542,0.6635314933563835,1.8498154981549813,2709
20 intrusiondetection_source ,0.7098855777952799,0.8918556334167557,0.6336443862163033,1.935067007019783,6267
21 intrusiondetection_source ,0.7098855777952799,0.8918556334167557,0.6336443862163033,1.935067007019783,6267
22 intrusiondetection_source ,0.7098855777952799,0.8918556334167557,0.6336443862163033,1.935067007019783,6267
24 intrusiondetection_source ,0.7098855777952799,0.8918556334167557,0.6336443862163033,1.935067007019783,6267
20 amazonecho_source ,0.7272435741355476,0.8928749592083529,0.6441025159801559,1.849621785173979,3304
21 amazonecho_source ,0.7272435741355476,0.8928749592083529,0.6441025159801559,1.849621785173979,3304
22 amazonecho_source ,0.7272435741355476,0.8928749592083529,0.6441025159801559,1.849621785173979,3304
